window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
0,0.0,3.0,CHECK_IN,CHECK_IN,True,first,REACTION_POSE,positive-low-arousal,0.5,0.5556991318377053,0.004074313749897112,mixed,mixed,0.013464927673339844,0.0061543387128040195,15.264027118682861,video45_2
1,3.0,6.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5459663090182514,0.006096133567597263,mixed,mixed,0.01985892653465271,0.003951985403546132,13.743097066879272,video45_2
2,6.0,9.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5429177484134349,0.020373561098339696,mixed,mixed,0.011848419904708862,0.01457922998815775,13.791430711746216,video45_2
3,9.0,12.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5456898841189175,0.0163864505465892,mixed,mixed,0.013660430908203125,0.007833363953977823,13.881970167160034,video45_2
4,12.0,15.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5465321904275475,0.001914874414867926,mixed,mixed,0.00958406925201416,0.014750533737242222,14.10836911201477,video45_2
5,15.0,18.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5270095331276335,0.021598519365553084,mixed,mixed,0.01444956660270691,0.009504253976047039,14.195724248886108,video45_2
6,18.0,21.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5567327003653456,-0.0005381213239871147,mixed,mixed,0.02005845308303833,0.015244578185956925,13.987602710723877,video45_2
7,21.0,24.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.4335999357991102,0.018957469175092695,mixed,mixed,0.00546225905418396,0.007029910106211901,14.174789428710938,video45_2
8,24.0,27.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.4656502977013588,0.010755589214102478,mixed,mixed,0.00744175910949707,0.005939546739682555,14.037683248519897,video45_2
9,27.0,30.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.4831765452172698,0.018032856830736486,mixed,mixed,0.015249907970428467,0.005258018150925636,14.009026288986206,video45_2
10,30.0,33.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.45912310717309396,0.012799780144322119,mixed,mixed,0.01333722472190857,0.004446288105100393,14.273623704910278,video45_2
11,33.0,36.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.4695258156918898,0.007389314139755897,mixed,mixed,0.006338045001029968,0.003602012060582638,13.95473861694336,video45_2
