window_index,t_start,t_end,proposed_intent,effective_intent,did_change,change_reason,pose_mode,state_label,state_confidence,valence,arousal,valence_trend,arousal_trend,valence_volatility,arousal_volatility,analysis_time_s,video
0,0.0,3.0,CHECK_IN,CHECK_IN,True,first,REACTION_POSE,positive-low-arousal,0.5,0.6149966691011264,0.18677794878129605,mixed,mixed,0.009605944156646729,0.01056671142578125,13.34412431716919,video46
1,3.0,6.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6113459596663345,0.20314462197783553,mixed,mixed,0.004368484020233154,0.00901949405670166,12.187834024429321,video46
2,6.0,9.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.5919481548998091,0.22903428934974435,mixed,mixed,0.051281630992889404,0.026483774185180664,12.042372703552246,video46
3,9.0,12.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6327378050780591,0.21942128972322852,mixed,mixed,0.009468257427215576,0.010723777115345001,12.000055313110352,video46
4,12.0,15.0,CHECK_IN,CHECK_IN,False,same,REACTION_POSE,positive-low-arousal,0.55,0.5955417078954203,0.18246669901741874,mixed,falling,0.02068793773651123,0.0266779363155365,11.997092008590698,video46
5,15.0,18.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6297995856514683,0.20436253794181494,mixed,mixed,0.021394431591033936,0.011053040623664856,11.912348985671997,video46
6,18.0,21.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6192796914665787,0.2238969588537275,mixed,mixed,0.01079791784286499,0.014936238527297974,11.913517713546753,video46
7,21.0,24.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6254280437657862,0.23142676092224357,mixed,mixed,0.004366040229797363,0.008527502417564392,12.101288795471191,video46
8,24.0,27.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6325756550571064,0.2232068312572844,mixed,mixed,0.006989240646362305,0.00872524082660675,12.213664531707764,video46
9,27.0,30.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6409219290003364,0.21619473894437155,mixed,mixed,0.011177361011505127,0.01408088207244873,12.30259108543396,video46
10,30.0,33.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.622364585046415,0.23390706610164524,mixed,mixed,0.017157137393951416,0.01604384183883667,12.277169942855835,video46
11,33.0,36.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6173840625050627,0.22149461126069964,mixed,mixed,0.0074918270111083984,0.011952131986618042,12.307733535766602,video46
12,36.0,39.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6262789398063848,0.20951609961964465,mixed,mixed,0.013847410678863525,0.013432994484901428,12.349777936935425,video46
13,39.0,42.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.632254680365692,0.22311926504344115,mixed,mixed,0.013318479061126709,0.014714628458023071,12.339988470077515,video46
14,42.0,45.0,CHECK_IN,NEUTRAL,False,low_confidence,REACTION_POSE,positive-low-arousal,0.5,0.6318027020236592,0.2452178458556717,mixed,mixed,0.013849377632141113,0.02110697329044342,12.581192016601562,video46
